thrust,mass,accelx,accely,velocityx,velocityy,xpos,ypos
1.5998513513513513,0.9994608695652174,0.0,0.0,0.0,0.0,0.0,0.0
1.6514594594594594,0.9994434782608695,0.0,0.0,0.0,0.0,0.0,0.0
1.7030675675675675,0.9994260869565217,0.0,0.0,0.0,0.0,0.0,0.0
1.7546756756756756,0.9994086956521739,0.0,0.0,0.0,0.0,0.0,0.0
1.8062837837837837,0.9993913043478261,0.0,0.0,0.0,0.0,0.0,0.0
1.8578918918918919,0.9993739130434782,0.0,0.0,0.0,0.0,0.0,0.0
1.9095,0.9993565217391305,0.0,0.0,0.0,0.0,0.0,0.0
1.961108108108108,0.9993391304347826,0.0,0.0,0.0,0.0,0.0,0.0
2.012716216216216,0.9993217391304348,0.0,0.0,0.0,0.0,0.0,0.0
2.0643243243243243,0.9993043478260869,0.0,0.0,0.0,0.0,0.0,0.0
2.1159324324324325,0.9992869565217392,0.0,0.0,0.0,0.0,0.0,0.0
2.1675405405405406,0.9992695652173913,0.0,0.0,0.0,0.0,0.0,0.0
2.2191486486486487,0.9992521739130434,0.0,0.0,0.0,0.0,0.0,0.0
2.270756756756757,0.9992347826086957,0.0,0.0,0.0,0.0,0.0,0.0
2.322364864864865,0.9992173913043478,0.0,0.0,0.0,0.0,0.0,0.0
2.373972972972973,0.9992,0.0,0.0,0.0,0.0,0.0,0.0
2.425581081081081,0.9991826086956521,0.0,0.0,0.0,0.0,0.0,0.0
2.477189189189189,0.9991652173913044,0.0,0.0,0.0,0.0,0.0,0.0
2.528797297297297,0.9991478260869565,0.0,0.0,0.0,0.0,0.0,0.0
2.580405405405405,0.9991304347826087,0.0,0.0,0.0,0.0,0.0,0.0
2.632013513513513,0.9991130434782609,0.0,0.0,0.0,0.0,0.0,0.0
2.6836216216216213,0.999095652173913,0.0,0.0,0.0,0.0,0.0,0.0
2.7352297297297294,0.9990782608695652,0.0,0.0,0.0,0.0,0.0,0.0
2.7868378378378376,0.9990608695652173,0.0,0.0,0.0,0.0,0.0,0.0
2.8384459459459457,0.9990434782608696,0.0,0.0,0.0,0.0,0.0,0.0
2.890054054054054,0.9990260869565217,0.0,0.0,0.0,0.0,0.0,0.0
2.941662162162162,0.9990086956521739,0.0,0.0,0.0,0.0,0.0,0.0
2.99327027027027,0.9989913043478261,0.0,0.0,0.0,0.0,0.0,0.0
3.044878378378378,0.9989739130434783,0.0,0.0,0.0,0.0,0.0,0.0
3.0964864864864863,0.9989565217391304,0.0,0.0,0.0,0.0,0.0,0.0
3.1480945945945944,0.9989391304347827,0.0,0.0,0.0,0.0,0.0,0.0
3.1997027027027025,0.9989217391304348,0.0,0.0,0.0,0.0,0.0,0.0
3.2513108108108106,0.998904347826087,0.0,0.0,0.0,0.0,0.0,0.0
3.3029189189189188,0.9988869565217391,0.0,0.0,0.0,0.0,0.0,0.0
3.354527027027027,0.9988695652173913,0.0,0.0,0.0,0.0,0.0,0.0
3.406135135135135,0.9988521739130435,0.0,0.0,0.0,0.0,0.0,0.0
